"id","fr","de","wortart","genus","beispielsatz_fr","themenfeld","quelle","created_at"
"44906","la routine du soir en semaine","die Abendroutine unter der Woche","noun","f","À la maison, la routine du soir en semaine revient presque chaque jour.","Familie & Freunde","",""
"44907","le tableau des tâches de la semaine","die Wochenaufgabentafel","noun","m","À la maison, le tableau des tâches de la semaine revient presque chaque jour.","Familie & Freunde","",""
"44908","la liste des affaires du lundi","die Liste der Sachen für Montag","noun","f","À la maison, la liste des affaires du lundi revient presque chaque jour.","Familie & Freunde","",""
"44909","la tenue du jour de sport","die Kleidung für den Sporttag","noun","f","À la maison, la tenue du jour de sport revient presque chaque jour.","Familie & Freunde","",""
"44910","la boîte du goûter","die Snackdose","noun","f","À la maison, la boîte du goûter revient presque chaque jour.","Familie & Freunde","",""
"44911","la gourde de l'école","die Trinkflasche für die Schule","noun","f","À la maison, la gourde de l'école revient presque chaque jour.","Familie & Freunde","",""
"44912","le parapluie du cartable","der Regenschirm für den Schulranzen","noun","m","À la maison, le parapluie du cartable revient presque chaque jour.","Familie & Freunde","",""
"44913","la paire de chaussons de classe","das Paar Hausschuhe für die Klasse","noun","f","À la maison, la paire de chaussons de classe revient presque chaque jour.","Familie & Freunde","",""
"44914","le change pour la cantine","das Kleingeld für die Mensa","noun","m","À la maison, le change pour la cantine revient presque chaque jour.","Familie & Freunde","",""
"44915","la liste de courses pour le goûter","die Einkaufsliste für den Nachmittagssnack","noun","f","À la maison, la liste de courses pour le goûter revient presque chaque jour.","Familie & Freunde","",""
"44916","le dîner du jeudi soir","das Abendessen am Donnerstag","noun","m","À la maison, le dîner du jeudi soir revient presque chaque jour.","Familie & Freunde","",""
"44917","la tournée des activités du samedi","die Runde der Samstagsaktivitäten","noun","f","À la maison, la tournée des activités du samedi revient presque chaque jour.","Familie & Freunde","",""
"44918","le réveil des enfants","das Wecken der Kinder","noun","m","À la maison, le réveil des enfants revient presque chaque jour.","Familie & Freunde","",""
"44919","le départ en trottinette","die Abfahrt mit dem Roller","noun","m","À la maison, le départ en trottinette revient presque chaque jour.","Familie & Freunde","",""
"44920","la sortie d'école du vendredi","die Schulabholung am Freitag","noun","f","À la maison, la sortie d'école du vendredi revient presque chaque jour.","Familie & Freunde","",""
"44921","le temps calme après l'école","die Ruhezeit nach der Schule","noun","m","À la maison, le temps calme après l'école revient presque chaque jour.","Familie & Freunde","",""
"44922","la lecture avant de dormir","das Lesen vor dem Einschlafen","noun","f","À la maison, la lecture avant de dormir revient presque chaque jour.","Familie & Freunde","",""
"44923","le panier à linge des enfants","der Wäschekorb der Kinder","noun","m","À la maison, le panier à linge des enfants revient presque chaque jour.","Familie & Freunde","",""
"44924","le planning des lessives","der Plan für die Wäsche","noun","m","À la maison, le planning des lessives revient presque chaque jour.","Familie & Freunde","",""
"44925","le coin cartables de l'entrée","die Ecke für Schulranzen im Flur","noun","m","À la maison, le coin cartables de l'entrée revient presque chaque jour.","Familie & Freunde","",""
"44926","la boîte aux mots doux","die Box für kleine Nachrichten","noun","f","À la maison, la boîte aux mots doux revient presque chaque jour.","Familie & Freunde","",""
"44927","la routine sans écran","die Routine ohne Bildschirm","noun","f","À la maison, la routine sans écran revient presque chaque jour.","Familie & Freunde","",""
"44928","la journée pyjama à la maison","der Pyjamatag zu Hause","noun","f","À la maison, la journée pyjama à la maison revient presque chaque jour.","Familie & Freunde","",""
"44929","la préparation du lundi matin","die Vorbereitung für Montagmorgen","noun","f","À la maison, la préparation du lundi matin revient presque chaque jour.","Familie & Freunde","",""
"45036","préparer la boîte du goûter","die Snackdose vorbereiten","phrase","","Il faut préparer la boîte du goûter avant demain matin.","Familie & Freunde","",""
"45037","préparer la gourde de l'école","die Trinkflasche für die Schule vorbereiten","phrase","","Il faut préparer la gourde de l'école avant demain matin.","Familie & Freunde","",""
"45038","préparer la tenue du jour de sport","die Kleidung für den Sporttag vorbereiten","phrase","","Il faut préparer la tenue du jour de sport avant demain matin.","Familie & Freunde","",""
"45045","préparer la liste des affaires du lundi","die Liste der Sachen für Montag vorbereiten","phrase","","Il faut préparer la liste des affaires du lundi avant demain matin.","Familie & Freunde","",""
"45046","préparer le panier à linge des enfants","den Wäschekorb der Kinder vorbereiten","phrase","","Il faut préparer le panier à linge des enfants avant demain matin.","Familie & Freunde","",""
"45047","préparer la préparation du lundi matin","die Vorbereitung für Montagmorgen vorbereiten","phrase","","Il faut préparer la préparation du lundi matin avant demain matin.","Familie & Freunde","",""
"45052","préparer la liste de courses pour le goûter","die Einkaufsliste für den Nachmittagssnack vorbereiten","phrase","","Il faut préparer la liste de courses pour le goûter avant demain matin.","Familie & Freunde","",""
"45095","vérifier la routine du matin avant l'école","die Morgenroutine vor der Schule prüfen","phrase","","Pense à vérifier la routine du matin avant l'école avant de partir.","Familie & Freunde","",""
"45096","vérifier la journée pyjama à la maison","den Pyjamatag zu Hause prüfen","phrase","","Pense à vérifier la journée pyjama à la maison avant de partir.","Familie & Freunde","",""
"45097","mettre dans la boîte du goûter","die Snackdose einpacken","phrase","","Il faut mettre dans la boîte du goûter le soir pour gagner du temps.","Familie & Freunde","",""
"45098","mettre dans la gourde de l'école","die Trinkflasche für die Schule einpacken","phrase","","Il faut mettre dans la gourde de l'école le soir pour gagner du temps.","Familie & Freunde","",""
"45099","mettre dans la paire de chaussons de classe","das Paar Hausschuhe für die Klasse einpacken","phrase","","Il faut mettre dans la paire de chaussons de classe le soir pour gagner du temps.","Familie & Freunde","",""
"45100","mettre dans le parapluie du cartable","den Regenschirm für den Schulranzen einpacken","phrase","","Il faut mettre dans le parapluie du cartable le soir pour gagner du temps.","Familie & Freunde","",""
"45101","mettre dans le sac du mercredi","die Tasche für Mittwoch einpacken","phrase","","Il faut mettre dans le sac du mercredi le soir pour gagner du temps.","Familie & Freunde","",""
"45114","organiser la tournée des activités du samedi","die Runde der Samstagsaktivitäten organisieren","phrase","","On essaie de organiser la tournée des activités du samedi à l'avance.","Familie & Freunde","",""
